* If the 17th wire is silver, cut the 10th wire.
* If there are exactly 17 watermelon wires, cut the 9th wire.
* If there are more than 13 rust wires, cut the 7th wire.
* If there is exactly 1 oyster wire, cut the 4th wire.
* If there are exactly 4 oyster wires, cut the 19th wire.
* If there are exactly 13 fern wires, cut the 8th wire.
* If the 11th wire is magenta, cut the 10th wire.
* If there are exactly 11 pineapple wires, cut the 7th wire.
* If there are exactly 16 scarlet wires, cut the 18th wire.
* If the 20th wire is sky, cut the 6th wire.
* If there are exactly 4 lapis wires, cut the 13th wire.
* If the 3rd wire is arctic, cut the 3rd wire.
* If the 8th wire is blue, cut the 1st wire.
* If the 16th wire is pear, cut the 11th wire.
* If there are exactly 4 charcoal wires, cut the 13th wire.
* If there are exactly 9 stone wires, cut the 18th wire.
* If there are exactly 10 ruby wires, cut the 3rd wire.
* If there are exactly 17 peach wires, cut the 17th wire.
* If the 12th wire is stone, cut the 9th wire.
* If there are exactly 3 silver wires, cut the 16th wire.
* If the 3rd wire is azure, cut the 20th wire.
* If there are exactly 15 caramel wires, cut the 13th wire.
* If the 16th wire is dijon, cut the 6th wire.
* If there are exactly 3 watermelon wires, cut the 2nd wire.
* If there are exactly 7 teal wires, cut the 13th wire.
* If the 7th wire is peach, cut the 20th wire.
* If the 10th wire is blush, cut the 1st wire.
* If there are exactly 13 granola wires, cut the 1st wire.
* If the 19th wire is coconut, cut the 1st wire.
* If there are exactly 4 gold wires, cut the 1st wire.
* If there are more than 15 blue wires, cut the 8th wire.
* If there are more than 10 navy wires, cut the 4th wire.
* If there are exactly 7 magenta wires, cut the 6th wire.
* If there are exactly 10 pink wires, cut the 4th wire.
* If there are exactly 12 blush wires, cut the 5th wire.
* If there are exactly 13 azure wires, cut the 2nd wire.
* If the 16th wire is cobalt, cut the 20th wire.
* If the 17th wire is jade, cut the 17th wire.
* If the 19th wire is bone, cut the 19th wire.
* If there are exactly 6 gold wires, cut the 11th wire.
* If the 18th wire is granola, cut the 12th wire.
* If there are exactly 7 butter wires, cut the 9th wire.
* If the 13th wire is stone, cut the 16th wire.
* If the 11th wire is green, cut the 11th wire.
* If there are exactly 9 emerald wires, cut the 11th wire.
* If there are exactly 3 basil wires, cut the 8th wire.
* If the 16th wire is ruby, cut the 9th wire.
* If the 18th wire is white, cut the 7th wire.
* If the 14th wire is seaweed, cut the 2nd wire.
* If there is exactly 1 cobalt wire, cut the 7th wire.
* If there are exactly 17 sky wires, cut the 17th wire.
* If there are more than 15 bubblegum wires, cut the 3rd wire.
* If the 13th wire is arctic, cut the 3rd wire.
* If the 19th wire is pear, cut the 17th wire.
* If there are exactly 12 cherry wires, cut the 5th wire.
* If the 10th wire is hazelnut, cut the 9th wire.
* If the 9th wire is tortilla, cut the 10th wire.
* If the 12th wire is pineapple, cut the 15th wire.
* If there are exactly 4 frost wires, cut the 19th wire.
* If there are exactly 20 shortbread wires, cut the 17th wire.
* If there are more than 9 bronze wires, cut the 11th wire.
* If the 9th wire is ivory, cut the 13th wire.
* If the 8th wire is pearl, cut the 7th wire.
* If the 13th wire is scarlet, cut the 11th wire.
* If there are exactly 7 cotton wires, cut the 12th wire.
* If the 3rd wire is seaweed, cut the 6th wire.
* If the 20th wire is iron, cut the 9th wire.
* If there are exactly 7 banana wires, cut the 1st wire.
* If the 19th wire is berry, cut the 14th wire.
* If there is exactly 1 teal wire, cut the 1st wire.
* If the 5th wire is coral, cut the 5th wire.
* If there are exactly 4 cotton wires, cut the 13th wire.
* If there are exactly 9 stone wires, cut the 5th wire.
* If there are exactly 3 teal wires, cut the 1st wire.
* If there is exactly 1 crimson wire, cut the 15th wire.
* If the 8th wire is grape, cut the 5th wire.
* If the 6th wire is hickory, cut the 14th wire.
* If there are exactly 18 corn wires, cut the 14th wire.
* If there are more than 14 wine wires, cut the 6th wire.
* If there are exactly 2 cotton wires, cut the 3rd wire.
* If the 4th wire is iris, cut the 10th wire.
* If there are exactly 5 coconut wires, cut the 20th wire.
* If there are exactly 2 honey wires, cut the 10th wire.
* If there are exactly 2 granola wires, cut the 3rd wire.
* If the 3rd wire is jade, cut the 7th wire.
* If there are exactly 4 sky wires, cut the 6th wire.
* If the 1st wire is caramel, cut the 4th wire.
* If the 19th wire is coral, cut the 9th wire.
* If there are exactly 8 latte wires, cut the 9th wire.
* If there are exactly 7 azure wires, cut the 19th wire.
* If the 5th wire is yellow, cut the 15th wire.
* If there are more than 15 pineapple wires, cut the 17th wire.
* If the 1st wire is navy, cut the 1st wire.
* If there are exactly 10 peach wires, cut the 1st wire.
* If the 1st wire is coconut, cut the 14th wire.
* If the 13th wire is apricot, cut the 16th wire.
* If there are exactly 12 black wires, cut the 6th wire.
* If there are exactly 12 azure wires, cut the 17th wire.
* If there are exactly 11 azure wires, cut the 9th wire.
* If there are exactly 8 ash wires, cut the 20th wire.
* If there are exactly 19 orchid wires, cut the 5th wire.
* If there are exactly 6 lapis wires, cut the 4th wire.
* If the 7th wire is penny, cut the 2nd wire.
* If there are exactly 20 apricot wires, cut the 3rd wire.
* If there are exactly 6 latte wires, cut the 16th wire.
* If there are more than 14 butter wires, cut the 6th wire.
* If there are exactly 20 sky wires, cut the 3rd wire.
* If the 3rd wire is seaweed, cut the 12th wire.
* If the 6th wire is magenta, cut the 4th wire.
* If there are exactly 13 apricot wires, cut the 19th wire.
* If there are more than 9 lead wires, cut the 6th wire.
* If there are exactly 19 green wires, cut the 5th wire.
* If there are exactly 7 tan wires, cut the 15th wire.
* If the 12th wire is silver, cut the 8th wire.
* If the 3rd wire is penny, cut the 2nd wire.
* If the 20th wire is porcelain, cut the 18th wire.
* If the 16th wire is chocolate, cut the 19th wire.
* If the 10th wire is fawn, cut the 7th wire.
* If there are exactly 14 marmalade wires, cut the 20th wire.
* If the 14th wire is cotton, cut the 6th wire.
* If the 11th wire is emerald, cut the 13th wire.
* If there are exactly 9 tan wires, cut the 14th wire.
* If the 16th wire is white, cut the 11th wire.
* If there are exactly 19 fawn wires, cut the 15th wire.
* If there are exactly 3 butter wires, cut the 19th wire.
* If there are exactly 13 squash wires, cut the 11th wire.
* If there are exactly 6 carrot wires, cut the 18th wire.
* If there are exactly 17 ruby wires, cut the 5th wire.
* If there are exactly 15 caramel wires, cut the 19th wire.
* If the 19th wire is pineapple, cut the 2nd wire.
* If there are exactly 2 marmalade wires, cut the 2nd wire.
* If the 12th wire is marigold, cut the 16th wire.
* If there are exactly 17 sage wires, cut the 18th wire.
* If there are exactly 13 grape wires, cut the 17th wire.
* If there is exactly 1 granola wire, cut the 6th wire.
* If there are exactly 19 teal wires, cut the 10th wire.
* If the 18th wire is purple, cut the 10th wire.
* If there are exactly 4 sandstone wires, cut the 20th wire.
* If the 3rd wire is penny, cut the 10th wire.
* If there are exactly 5 orange wires, cut the 19th wire.
* If there are exactly 10 coral wires, cut the 19th wire.
* If there are more than 16 sandstone wires, cut the 2nd wire.
* If there are exactly 10 purple wires, cut the 17th wire.
* If there are more than 14 lime wires, cut the 7th wire.
* If there are exactly 6 lime wires, cut the 19th wire.
* If there are exactly 5 shamrock wires, cut the 13th wire.
* If there are exactly 13 blood wires, cut the 8th wire.
* If there are more than 18 granola wires, cut the 19th wire.
* If there are exactly 7 blood wires, cut the 16th wire.
* If there are more than 12 banana wires, cut the 9th wire.
* If the 8th wire is jade, cut the 12th wire.
* If there are exactly 7 cherry wires, cut the 15th wire.
* If there are exactly 18 flint wires, cut the 1st wire.
* If the 5th wire is cherry, cut the 9th wire.
* If there are more than 17 lemon wires, cut the 4th wire.
* If there are exactly 5 chocolate wires, cut the 13th wire.
* If there are exactly 6 bronze wires, cut the 5th wire.
* If there are exactly 18 magenta wires, cut the 4th wire.
* If the 9th wire is bronze, cut the 10th wire.
* If the 4th wire is brown, cut the 7th wire.
* If the 4th wire is watermelon, cut the 7th wire.
* If the 17th wire is carrot, cut the 16th wire.
* If there are more than 11 berry wires, cut the 19th wire.
* If the 15th wire is bone, cut the 4th wire.
* If there are exactly 4 coconut wires, cut the 1st wire.
* If there are exactly 18 granola wires, cut the 11th wire.
* If the 20th wire is pink, cut the 13th wire.
* If the 7th wire is flint, cut the 4th wire.
* If there are exactly 19 cobalt wires, cut the 16th wire.
* If there is exactly 1 berry wire, cut the 2nd wire.
* If the 12th wire is ash, cut the 7th wire.
* If there are exactly 16 carrot wires, cut the 7th wire.
* If the 20th wire is rosewood, cut the 8th wire.
* If the 19th wire is butter, cut the 8th wire.
* If the 17th wire is granola, cut the 19th wire.
* If there are exactly 15 bubblegum wires, cut the 18th wire.
* If there are exactly 14 jade wires, cut the 4th wire.
* If there are exactly 8 black wires, cut the 12th wire.
* If there are exactly 6 silver wires, cut the 9th wire.
* If there are exactly 20 hazelnut wires, cut the 12th wire.
* If there are exactly 19 wine wires, cut the 11th wire.
* If the 12th wire is pink, cut the 5th wire.
* If the 5th wire is teal, cut the 7th wire.
* If there are exactly 8 chiffon wires, cut the 5th wire.
* If there are exactly 8 butter wires, cut the 8th wire.
* If there are exactly 8 honey wires, cut the 17th wire.
* If the 8th wire is wine, cut the 15th wire.
* If there are more than 7 bubblegum wires, cut the 14th wire.
* If there are exactly 11 stone wires, cut the 20th wire.
* If the 15th wire is ruby, cut the 7th wire.
* If there are exactly 6 penny wires, cut the 11th wire.
* If there are exactly 15 arctic wires, cut the 6th wire.
* If there are exactly 14 hickory wires, cut the 1st wire.
* If the 11th wire is arctic, cut the 16th wire.
* If there are exactly 3 red wires, cut the 12th wire.
* If the 16th wire is pear, cut the 15th wire.
* If the 2nd wire is cloud, cut the 14th wire.
* If there are exactly 19 rose wires, cut the 10th wire.
* If there are exactly 5 marmalade wires, cut the 8th wire.
* If there are exactly 18 daisy wires, cut the 1st wire.
* If the 9th wire is corn, cut the 13th wire.
* If there are exactly 13 pearl wires, cut the 13th wire.
* If the 18th wire is obsidian, cut the 20th wire.
* If there are exactly 10 silver wires, cut the 17th wire.
* If there are exactly 12 shortbread wires, cut the 13th wire.
* If the 16th wire is yellow, cut the 9th wire.
* If the 2nd wire is charcoal, cut the 18th wire.
* If there are exactly 15 ash wires, cut the 8th wire.
* If the 3rd wire is shamrock, cut the 8th wire.
* If there are exactly 13 sandstone wires, cut the 5th wire.
* If there are exactly 8 black wires, cut the 19th wire.
* If the 20th wire is wood, cut the 7th wire.
* If there are exactly 18 pearl wires, cut the 19th wire.
* If there are exactly 20 rouge wires, cut the 1st wire.
* If there are exactly 2 bronze wires, cut the 9th wire.
* If there are exactly 15 azure wires, cut the 10th wire.
* If the 19th wire is candy, cut the 8th wire.
* If there are exactly 14 macaroon wires, cut the 16th wire.
* If the 20th wire is pear, cut the 10th wire.
* If there are exactly 4 coral wires, cut the 8th wire.
* If the 19th wire is scarlet, cut the 5th wire.
* If there are exactly 19 orchid wires, cut the 15th wire.
* If there are exactly 16 plum wires, cut the 2nd wire.
* If there are exactly 5 charcoal wires, cut the 12th wire.
* If there are exactly 19 latte wires, cut the 12th wire.
* If there are exactly 5 wood wires, cut the 2nd wire.
* If there are exactly 5 orchid wires, cut the 7th wire.
* If the 17th wire is corn, cut the 10th wire.
* If there are exactly 14 bone wires, cut the 10th wire.
* If there are more than 11 bubblegum wires, cut the 16th wire.
* If there are exactly 18 fire wires, cut the 17th wire.
* If there are exactly 14 white wires, cut the 1st wire.
* If there are exactly 2 cherry wires, cut the 16th wire.
* If the 12th wire is cotton, cut the 16th wire.
* If the 10th wire is carrot, cut the 17th wire.
* If the 14th wire is banana, cut the 8th wire.
* If there are exactly 7 fire wires, cut the 8th wire.
* If the 2nd wire is blood, cut the 2nd wire.
* If the 13th wire is lemon, cut the 3rd wire.
* If there are exactly 16 plum wires, cut the 18th wire.
* If the 20th wire is cotton, cut the 20th wire.
* If there are more than 13 black wires, cut the 6th wire.
* If there are exactly 18 shamrock wires, cut the 20th wire.
* If there are more than 13 lime wires, cut the 12th wire.
* If the 3rd wire is apricot, cut the 17th wire.
* If there are exactly 20 magenta wires, cut the 11th wire.
* If there are exactly 6 azure wires, cut the 2nd wire.
* If there are exactly 11 latte wires, cut the 19th wire.
* If the 5th wire is coconut, cut the 20th wire.
* If there are exactly 5 ivory wires, cut the 6th wire.
* If there are exactly 4 bubblegum wires, cut the 20th wire.
* If there are exactly 4 tan wires, cut the 13th wire.
* If there are exactly 3 fawn wires, cut the 18th wire.
* If there are more than 9 gold wires, cut the 10th wire.
* If there are exactly 10 blue wires, cut the 1st wire.
* If there are exactly 4 macaroon wires, cut the 1st wire.
* If the 7th wire is magenta, cut the 14th wire.
* If there are exactly 17 candy wires, cut the 17th wire.
* If the 10th wire is daisy, cut the 3rd wire.
* If there are exactly 8 chocolate wires, cut the 3rd wire.
* If the 16th wire is tan, cut the 12th wire.
* If there is exactly 1 tan wire, cut the 3rd wire.
* If the 15th wire is bronze, cut the 18th wire.
* If there are exactly 18 daisy wires, cut the 5th wire.
* If there are exactly 13 hazelnut wires, cut the 12th wire.
* If the 12th wire is charcoal, cut the 12th wire.
* If there are exactly 16 orchid wires, cut the 9th wire.
* If the 10th wire is cotton, cut the 17th wire.
* If there are exactly 17 carrot wires, cut the 6th wire.
* If there are exactly 13 sky wires, cut the 9th wire.
* If the 20th wire is tortilla, cut the 13th wire.
* If there are exactly 16 shamrock wires, cut the 3rd wire.
* If the 8th wire is lapis, cut the 6th wire.
* If the 18th wire is cherry, cut the 10th wire.
* If there are exactly 10 wood wires, cut the 1st wire.
* If there are exactly 4 hazelnut wires, cut the 5th wire.
* If there are exactly 12 tan wires, cut the 9th wire.
* If there are exactly 12 corn wires, cut the 8th wire.
* If there are exactly 3 iris wires, cut the 20th wire.
* If there are exactly 5 jade wires, cut the 3rd wire.
* If the 13th wire is plum, cut the 18th wire.
* If the 13th wire is brick, cut the 11th wire.
* If there are exactly 3 banana wires, cut the 8th wire.
* If the 17th wire is cloud, cut the 2nd wire.
* If there are exactly 19 coral wires, cut the 13th wire.
* If there are exactly 16 plum wires, cut the 15th wire.
* If there are more than 8 daisy wires, cut the 19th wire.
* If there are exactly 16 rouge wires, cut the 18th wire.
* If there are exactly 19 lemon wires, cut the 2nd wire.
* If there are exactly 10 red wires, cut the 11th wire.
* If there are exactly 6 sky wires, cut the 4th wire.
* If there are exactly 8 red wires, cut the 8th wire.
* If there are exactly 7 pearl wires, cut the 1st wire.
* If the 18th wire is charcoal, cut the 20th wire.
* If there are exactly 9 brown wires, cut the 20th wire.
* If there are exactly 11 caramel wires, cut the 7th wire.
* If the 9th wire is azure, cut the 8th wire.
* If there are exactly 16 eggplant wires, cut the 7th wire.
* If the 10th wire is oyster, cut the 1st wire.
* If there are exactly 6 magenta wires, cut the 10th wire.
* If the 18th wire is shamrock, cut the 6th wire.
* If there are exactly 13 black wires, cut the 19th wire.
* If the 11th wire is fire, cut the 12th wire.
* If there are exactly 18 plum wires, cut the 17th wire.
* If there are more than 12 charcoal wires, cut the 10th wire.
* If there is exactly 1 granola wire, cut the 14th wire.
* If the 2nd wire is honey, cut the 20th wire.
* If there are exactly 5 stone wires, cut the 9th wire.
* If there are more than 7 navy wires, cut the 6th wire.
* If the 2nd wire is dijon, cut the 4th wire.
* If there are exactly 20 cherry wires, cut the 18th wire.
* If there are exactly 17 ash wires, cut the 19th wire.
* If there is less than 1 gold wire, cut the 9th wire.
* If the 1st wire is pear, cut the 19th wire.
* If there are exactly 18 white wires, cut the 9th wire.
* If there are more than 19 scarlet wires, cut the 10th wire.
* If the 8th wire is porcelain, cut the 18th wire.
* If there are exactly 2 yellow wires, cut the 10th wire.
* If the 13th wire is emerald, cut the 20th wire.
* If the 1st wire is azure, cut the 12th wire.
* If the 3rd wire is scarlet, cut the 12th wire.
* If there are exactly 9 cobalt wires, cut the 1st wire.
* If there are exactly 4 arctic wires, cut the 19th wire.
* If there are exactly 17 arctic wires, cut the 13th wire.
* If there are exactly 5 wood wires, cut the 19th wire.
* If the 19th wire is berry, cut the 1st wire.
* If the 1st wire is ash, cut the 1st wire.
* If there are exactly 6 sandstone wires, cut the 19th wire.
* If there are exactly 14 flint wires, cut the 18th wire.
* If there are exactly 14 crimson wires, cut the 19th wire.
* If the 6th wire is oyster, cut the 20th wire.
* If the 4th wire is emerald, cut the 13th wire.
* If there are exactly 13 stone wires, cut the 15th wire.
* If there are exactly 7 pear wires, cut the 3rd wire.
* If the 1st wire is pickle, cut the 20th wire.
* If the 7th wire is lead, cut the 16th wire.
* If the 6th wire is wine, cut the 14th wire.
* If there are exactly 15 bone wires, cut the 8th wire.
* If there are exactly 4 black wires, cut the 17th wire.
* If the 3rd wire is arctic, cut the 1st wire.
* If the 1st wire is iron, cut the 16th wire.
* If the 3rd wire is tan, cut the 15th wire.
* If the 8th wire is purple, cut the 3rd wire.
* If there are exactly 16 candy wires, cut the 15th wire.
* If the 2nd wire is grape, cut the 13th wire.
* If there are exactly 9 eggplant wires, cut the 20th wire.
* If there are exactly 4 coral wires, cut the 18th wire.
* If the 9th wire is seaweed, cut the 2nd wire.
* If the 1st wire is squash, cut the 16th wire.
* If the 13th wire is apricot, cut the 10th wire.
* If the 8th wire is fawn, cut the 17th wire.
* If the 15th wire is penny, cut the 15th wire.
* If the 3rd wire is rose, cut the 19th wire.
* If the 11th wire is tiger, cut the 11th wire.
* If there are exactly 3 yellow wires, cut the 19th wire.
* If there are exactly 14 rose wires, cut the 6th wire.
* If there are exactly 7 honey wires, cut the 13th wire.
* If there are exactly 12 blue wires, cut the 19th wire.
* If there are more than 11 green wires, cut the 5th wire.
* If the 9th wire is shamrock, cut the 20th wire.
* If the 10th wire is rosewood, cut the 6th wire.
* If there are exactly 6 banana wires, cut the 19th wire.
* If the 19th wire is teal, cut the 10th wire.
* If the 20th wire is corn, cut the 6th wire.
* If there are exactly 10 bronze wires, cut the 19th wire.
* If there are exactly 13 pear wires, cut the 12th wire.
* If there are exactly 6 white wires, cut the 5th wire.
* If the 9th wire is caramel, cut the 18th wire.
* If the 18th wire is corn, cut the 13th wire.
* If the 19th wire is plum, cut the 18th wire.
* If there are more than 16 banana wires, cut the 20th wire.
* If the 7th wire is frost, cut the 18th wire.
* If there are exactly 5 ash wires, cut the 8th wire.
* If there are exactly 4 bronze wires, cut the 2nd wire.
* If there are more than 14 cherry wires, cut the 7th wire.
* If the 6th wire is cobalt, cut the 14th wire.
* If there are exactly 16 obsidian wires, cut the 15th wire.
* If the 11th wire is pickle, cut the 14th wire.
* If there are exactly 7 blue wires, cut the 7th wire.
* If there are exactly 2 ivory wires, cut the 15th wire.
* If the 10th wire is red, cut the 6th wire.
* If the 4th wire is bubblegum, cut the 13th wire.
* If the 5th wire is penny, cut the 13th wire.
* If there are exactly 8 macaroon wires, cut the 20th wire.
* If there are exactly 10 peach wires, cut the 9th wire.
* If there are exactly 3 amethyst wires, cut the 15th wire.
* If the 4th wire is seaweed, cut the 3rd wire.
* If there are exactly 8 sand wires, cut the 3rd wire.
* If the 19th wire is wine, cut the 5th wire.
* If there are exactly 3 fern wires, cut the 18th wire.
* If there are exactly 19 bubblegum wires, cut the 18th wire.
* If the 6th wire is shortbread, cut the 9th wire.
* If there are more than 19 coffee wires, cut the 13th wire.
* If there are exactly 16 bone wires, cut the 15th wire.
* If the 9th wire is pearl, cut the 13th wire.
* If there are exactly 8 grape wires, cut the 20th wire.
* If the 11th wire is violet, cut the 18th wire.
* If there are exactly 4 pineapple wires, cut the 3rd wire.
* If there are exactly 20 tan wires, cut the 19th wire.
* If the 8th wire is gold, cut the 17th wire.
* If the 16th wire is tiger, cut the 11th wire.
* If the 13th wire is bone, cut the 17th wire.
* If there are exactly 5 squash wires, cut the 19th wire.
* If the 12th wire is magenta, cut the 8th wire.
* If there are exactly 13 orchid wires, cut the 20th wire.
* If the 17th wire is ivory, cut the 11th wire.
* If the 16th wire is pear, cut the 5th wire.
* If there are exactly 6 basil wires, cut the 2nd wire.
* If there are more than 9 charcoal wires, cut the 8th wire.
* If the 5th wire is banana, cut the 5th wire.
* If the 19th wire is carrot, cut the 1st wire.
* If there are exactly 19 crimson wires, cut the 4th wire.
* If the 18th wire is marmalade, cut the 17th wire.
* If there are exactly 19 iron wires, cut the 5th wire.
* If the 9th wire is pink, cut the 20th wire.
* If there are exactly 15 cobalt wires, cut the 5th wire.
* If there are more than 14 fire wires, cut the 2nd wire.
* If there are exactly 13 teal wires, cut the 8th wire.
* If the 2nd wire is cherry, cut the 2nd wire.
* If the 12th wire is green, cut the 18th wire.
* If there are more than 14 white wires, cut the 19th wire.
* If there are exactly 18 red wires, cut the 16th wire.
* If the 20th wire is rose, cut the 20th wire.
* If the 1st wire is rust, cut the 9th wire.
* If there are exactly 15 amethyst wires, cut the 11th wire.
* If there are exactly 10 coffee wires, cut the 2nd wire.
* If there are exactly 3 green wires, cut the 18th wire.
* If there are exactly 2 orchid wires, cut the 2nd wire.
* If the 3rd wire is violet, cut the 15th wire.
* If there are exactly 2 gold wires, cut the 16th wire.
* If the 18th wire is ivory, cut the 17th wire.
* If there are exactly 15 penny wires, cut the 19th wire.
* If the 1st wire is corn, cut the 5th wire.
* If there are more than 19 lemon wires, cut the 8th wire.
* If there are exactly 9 wood wires, cut the 2nd wire.
* If the 1st wire is shortbread, cut the 2nd wire.
* If there are exactly 11 seaweed wires, cut the 14th wire.
* If the 19th wire is cotton, cut the 9th wire.
* If there are exactly 20 fern wires, cut the 20th wire.
* If there are exactly 20 charcoal wires, cut the 1st wire.
* If there are exactly 15 rose wires, cut the 6th wire.
* If the 7th wire is arctic, cut the 15th wire.
* If there are exactly 20 obsidian wires, cut the 7th wire.
* If the 7th wire is candy, cut the 4th wire.
* If there are exactly 20 granola wires, cut the 20th wire.
* If there are more than 15 brown wires, cut the 15th wire.
* If there are exactly 6 oyster wires, cut the 14th wire.
* If the 1st wire is flint, cut the 11th wire.
* If there are exactly 13 tan wires, cut the 2nd wire.
* If there are exactly 14 granola wires, cut the 16th wire.
* If there are exactly 7 squash wires, cut the 13th wire.
* If the 8th wire is blood, cut the 3rd wire.
* If the 17th wire is dijon, cut the 16th wire.
* If the 2nd wire is buttermilk, cut the 6th wire.
* If there are more than 16 grape wires, cut the 8th wire.
* If there are exactly 18 sand wires, cut the 11th wire.
* If there are exactly 2 lemon wires, cut the 17th wire.
* If there are exactly 3 rosewood wires, cut the 15th wire.
* If the 12th wire is chocolate, cut the 14th wire.
* If there are exactly 7 gold wires, cut the 6th wire.
* If the 12th wire is bubblegum, cut the 6th wire.
* If there are exactly 4 eggplant wires, cut the 7th wire.
* If there are exactly 20 crimson wires, cut the 9th wire.
* If there are exactly 11 yellow wires, cut the 20th wire.
* If there are exactly 13 coconut wires, cut the 15th wire.
* If there are more than 18 pickle wires, cut the 19th wire.
* If there are exactly 9 ruby wires, cut the 4th wire.
* If the 2nd wire is green, cut the 7th wire.
* If the 6th wire is candy, cut the 1st wire.
* If the 10th wire is bronze, cut the 1st wire.
* If there are more than 11 lapis wires, cut the 12th wire.
* If there are more than 17 frost wires, cut the 18th wire.
* If there are exactly 16 green wires, cut the 13th wire.
* If there are exactly 5 crimson wires, cut the 8th wire.
* If the 10th wire is bronze, cut the 11th wire.
* If there are exactly 12 marmalade wires, cut the 2nd wire.
* If there are more than 10 sage wires, cut the 1st wire.
* If the 13th wire is watermelon, cut the 17th wire.
* If the 5th wire is purple, cut the 16th wire.
* If there are exactly 11 cotton wires, cut the 1st wire.
* If there are more than 19 ash wires, cut the 19th wire.
* If the 20th wire is frost, cut the 3rd wire.
* If there are exactly 9 wine wires, cut the 20th wire.
* If there are exactly 15 banana wires, cut the 19th wire.
* If there are more than 14 violet wires, cut the 2nd wire.
* If there are exactly 8 azure wires, cut the 2nd wire.
* If the 8th wire is purple, cut the 15th wire.
* If the 14th wire is dijon, cut the 13th wire.
* If there are exactly 10 ivory wires, cut the 7th wire.
* If the 6th wire is rose, cut the 1st wire.
* If the 14th wire is apricot, cut the 13th wire.
* If there are exactly 14 latte wires, cut the 10th wire.
* If there are exactly 3 magenta wires, cut the 7th wire.
* If the 3rd wire is stone, cut the 5th wire.
* If the 1st wire is orchid, cut the 1st wire.
* If the 19th wire is sky, cut the 20th wire.
* If there are exactly 19 basil wires, cut the 17th wire.
* If there are exactly 10 fire wires, cut the 17th wire.
* If the 17th wire is violet, cut the 5th wire.
* If the 1st wire is orange, cut the 10th wire.
* If there are exactly 7 berry wires, cut the 10th wire.
* If there are exactly 8 marigold wires, cut the 19th wire.
* If there are exactly 10 lapis wires, cut the 7th wire.
* If there are exactly 2 chiffon wires, cut the 18th wire.
* If the 13th wire is buttermilk, cut the 20th wire.
* If the 5th wire is candy, cut the 5th wire.
* If there are exactly 18 coral wires, cut the 20th wire.
* If the 6th wire is tan, cut the 20th wire.
* If there are exactly 14 pearl wires, cut the 12th wire.
* If there is exactly 1 coffee wire, cut the 8th wire.
* If there are exactly 5 rose wires, cut the 13th wire.
* If the 5th wire is macaroon, cut the 16th wire.
* If the 2nd wire is bone, cut the 11th wire.
* If the 3rd wire is cobalt, cut the 15th wire.
* If there are exactly 12 rouge wires, cut the 13th wire.
* If the 20th wire is hickory, cut the 13th wire.
* If there is exactly 1 marmalade wire, cut the 10th wire.
* If there are exactly 15 latte wires, cut the 20th wire.
* If the 9th wire is emerald, cut the 2nd wire.
* If the 4th wire is blue, cut the 4th wire.
* If there are exactly 19 white wires, cut the 4th wire.
* If the 7th wire is obsidian, cut the 3rd wire.
* If there are exactly 17 pink wires, cut the 6th wire.
* If the 8th wire is coconut, cut the 7th wire.
* If the 10th wire is gold, cut the 4th wire.
* If the 8th wire is charcoal, cut the 13th wire.
* If the 11th wire is crepe, cut the 1st wire.
* If there are exactly 5 marmalade wires, cut the 15th wire.
* If there are more than 18 grape wires, cut the 9th wire.
* If the 10th wire is silver, cut the 11th wire.
* If there are exactly 10 ivory wires, cut the 19th wire.
* If the 14th wire is sky, cut the 19th wire.
* If the 4th wire is pearl, cut the 8th wire.
* If there are exactly 12 red wires, cut the 20th wire.
* If there are more than 12 jade wires, cut the 6th wire.
* If there are exactly 12 gray wires, cut the 18th wire.
* If there are exactly 8 chocolate wires, cut the 17th wire.
* If there are exactly 15 black wires, cut the 6th wire.
* If the 6th wire is emerald, cut the 6th wire.
* If the 15th wire is blue, cut the 8th wire.
* If the 11th wire is butter, cut the 1st wire.
* If there are less than 2 lime wires, cut the 12th wire.
* If the 6th wire is sandstone, cut the 7th wire.
* If there are exactly 16 arctic wires, cut the 15th wire.
* If the 5th wire is lemon, cut the 18th wire.
* If the 18th wire is pineapple, cut the 5th wire.
* If there are exactly 9 penny wires, cut the 17th wire.
* If there are exactly 9 buttermilk wires, cut the 3rd wire.
* If there are exactly 20 berry wires, cut the 7th wire.
* If there are exactly 9 basil wires, cut the 18th wire.
* If the 18th wire is charcoal, cut the 9th wire.
* If the 20th wire is azure, cut the 14th wire.
* If there are exactly 20 granola wires, cut the 7th wire.
* If there are exactly 6 plum wires, cut the 6th wire.
* If the 7th wire is bone, cut the 3rd wire.
* If there are exactly 6 banana wires, cut the 6th wire.
* If there are exactly 13 charcoal wires, cut the 15th wire.
* If the 19th wire is tan, cut the 8th wire.
* If there are exactly 7 bronze wires, cut the 5th wire.
* If the 2nd wire is sand, cut the 20th wire.
* If there are exactly 2 oyster wires, cut the 5th wire.
* If there are exactly 19 bronze wires, cut the 3rd wire.
* If there are exactly 18 seaweed wires, cut the 16th wire.
* If there are exactly 5 banana wires, cut the 20th wire.
* If the 12th wire is pineapple, cut the 12th wire.
* If the 9th wire is charcoal, cut the 3rd wire.
* If there are more than 16 orchid wires, cut the 7th wire.
* If there are exactly 7 candy wires, cut the 12th wire.
* If the 4th wire is rouge, cut the 12th wire.
* If there are exactly 3 lime wires, cut the 17th wire.
* If there are exactly 8 crepe wires, cut the 1st wire.
